SentID,Sentence,Proficiency Level
1,これは私の本です。 [N5],N5
2,私は毎日学校へ行きます。 [N5],N5
3,昨日、友達と遊びました。 [N5],N5
4,このリンゴはおいしいです。 [N5],N5
5,日本語を勉強しています。 [N5],N5
6,私は猫が好きです。 [N5],N5
7,毎朝7時に起きます。 [N5],N5
8,先生は教室にいます。 [N5],N5
9,コーヒーを飲みたいです。 [N5],N5
10,図書館で本を借りました。 [N5],N5
11,学校の前に公園があります。 [N5],N5
12,今、雨が降っています。 [N5],N5
13,彼はとても元気です。 [N5],N5
14,明日は日曜日です。 [N5],N5
15,私はバスで学校へ行きます。 [N5],N5
16,これはとても安いですね。 [N5],N5
17,お母さんとスーパーへ行きました。 [N5],N5
18,ご飯を食べた後、テレビを見ます。 [N5],N5
19,この犬はとてもかわいいです。 [N5],N5
20,今日は天気がいいです。 [N5],N5
21,これは私の本です。 [N5],N5
22,私は毎日学校へ行きます。 [N5],N5
23,昨日、友達と遊びました。 [N5],N5
24,このリンゴはおいしいです。 [N5],N5
25,日本語を勉強しています。 [N5],N5
26,私は猫が好きです。 [N5],N5
27,毎朝7時に起きます。 [N5],N5
28,先生は教室にいます。 [N5],N5
29,コーヒーを飲みたいです。 [N5],N5
30,図書館で本を借りました。 [N5],N5
31,学校の前に公園があります。 [N5],N5
32,今、雨が降っています。 [N5],N5
33,彼はとても元気です。 [N5],N5
34,明日は日曜日です。 [N5],N5
35,私はバスで学校へ行きます。 [N5],N5
36,これはとても安いですね。 [N5],N5
37,お母さんとスーパーへ行きました。 [N5],N5
38,ご飯を食べた後、テレビを見ます。 [N5],N5
39,この犬はとてもかわいいです。 [N5],N5
40,今日は天気がいいです。 [N5],N5
41,これは私の本です。 [N5],N5
42,私は毎日学校へ行きます。 [N5],N5
43,昨日、友達と遊びました。 [N5],N5
44,このリンゴはおいしいです。 [N5],N5
45,日本語を勉強しています。 [N5],N5
46,私は猫が好きです。 [N5],N5
47,毎朝7時に起きます。 [N5],N5
48,先生は教室にいます。 [N5],N5
49,コーヒーを飲みたいです。 [N5],N5
50,図書館で本を借りました。 [N5],N5
51,学校の前に公園があります。 [N5],N5
52,今、雨が降っています。 [N5],N5
53,彼はとても元気です。 [N5],N5
54,明日は日曜日です。 [N5],N5
55,私はバスで学校へ行きます。 [N5],N5
56,これはとても安いですね。 [N5],N5
57,お母さんとスーパーへ行きました。 [N5],N5
58,ご飯を食べた後、テレビを見ます。 [N5],N5
59,この犬はとてもかわいいです。 [N5],N5
60,今日は天気がいいです。 [N5],N5
61,これは私の本です。 [N5],N5
62,私は毎日学校へ行きます。 [N5],N5
63,昨日、友達と遊びました。 [N5],N5
64,このリンゴはおいしいです。 [N5],N5
65,日本語を勉強しています。 [N5],N5
66,私は猫が好きです。 [N5],N5
67,毎朝7時に起きます。 [N5],N5
68,先生は教室にいます。 [N5],N5
69,コーヒーを飲みたいです。 [N5],N5
70,図書館で本を借りました。 [N5],N5
71,学校の前に公園があります。 [N5],N5
72,今、雨が降っています。 [N5],N5
73,彼はとても元気です。 [N5],N5
74,明日は日曜日です。 [N5],N5
75,私はバスで学校へ行きます。 [N5],N5
76,これはとても安いですね。 [N5],N5
77,お母さんとスーパーへ行きました。 [N5],N5
78,ご飯を食べた後、テレビを見ます。 [N5],N5
79,この犬はとてもかわいいです。 [N5],N5
80,今日は天気がいいです。 [N5],N5
81,これは私の本です。 [N5],N5
82,私は毎日学校へ行きます。 [N5],N5
83,昨日、友達と遊びました。 [N5],N5
84,このリンゴはおいしいです。 [N5],N5
85,日本語を勉強しています。 [N5],N5
86,私は猫が好きです。 [N5],N5
87,毎朝7時に起きます。 [N5],N5
88,先生は教室にいます。 [N5],N5
89,コーヒーを飲みたいです。 [N5],N5
90,図書館で本を借りました。 [N5],N5
91,学校の前に公園があります。 [N5],N5
92,今、雨が降っています。 [N5],N5
93,彼はとても元気です。 [N5],N5
94,明日は日曜日です。 [N5],N5
95,私はバスで学校へ行きます。 [N5],N5
96,これはとても安いですね。 [N5],N5
97,お母さんとスーパーへ行きました。 [N5],N5
98,ご飯を食べた後、テレビを見ます。 [N5],N5
99,この犬はとてもかわいいです。 [N5],N5
100,今日は天気がいいです。 [N5],N5
