SentID,Sentence,Proficiency Level
1,毎朝、電車に乗るたびに、人の多さに驚く。 [N3],N3
2,彼の話を聞いたら、ますます行きたくなった。 [N3],N3
3,日本に来て以来、毎日日本語を勉強している。 [N3],N3
4,この料理は見た目ほど辛くない。 [N3],N3
5,新しい仕事に慣れるのに時間がかかった。 [N3],N3
6,友達が手伝ってくれたおかげで、早く終わった。 [N3],N3
7,雨が降るかもしれないから、傘を持って行ったほうがいい。 [N3],N3
8,試験に合格するために、一生懸命勉強している。 [N3],N3
9,明日は早く起きる必要がある。 [N3],N3
10,この映画は日本語の勉強にも役に立つと思う。 [N3],N3
11,彼の意見に賛成するわけではないが、理解はできる。 [N3],N3
12,最近、仕事が忙しくて、あまり寝ていない。 [N3],N3
13,このレストランは安いのに、とても美味しい。 [N3],N3
14,彼女は昨日、風邪をひいたらしく、今日は学校を休んでいる。 [N3],N3
15,何を言われても、彼の決意は変わらないだろう。 [N3],N3
16,来週の会議には、ぜひ参加してください。 [N3],N3
17,この問題は、みんなで話し合って決めるべきだ。 [N3],N3
18,彼は日本語が上手だが、漢字はまだ苦手なようだ。 [N3],N3
19,この町は静かで住みやすい。 [N3],N3
20,彼の話は面白くて、時間が経つのを忘れた。 [N3],N3
21,毎朝、電車に乗るたびに、人の多さに驚く。 [N3],N3
22,彼の話を聞いたら、ますます行きたくなった。 [N3],N3
23,日本に来て以来、毎日日本語を勉強している。 [N3],N3
24,この料理は見た目ほど辛くない。 [N3],N3
25,新しい仕事に慣れるのに時間がかかった。 [N3],N3
26,友達が手伝ってくれたおかげで、早く終わった。 [N3],N3
27,雨が降るかもしれないから、傘を持って行ったほうがいい。 [N3],N3
28,試験に合格するために、一生懸命勉強している。 [N3],N3
29,明日は早く起きる必要がある。 [N3],N3
30,この映画は日本語の勉強にも役に立つと思う。 [N3],N3
31,彼の意見に賛成するわけではないが、理解はできる。 [N3],N3
32,最近、仕事が忙しくて、あまり寝ていない。 [N3],N3
33,このレストランは安いのに、とても美味しい。 [N3],N3
34,彼女は昨日、風邪をひいたらしく、今日は学校を休んでいる。 [N3],N3
35,何を言われても、彼の決意は変わらないだろう。 [N3],N3
36,来週の会議には、ぜひ参加してください。 [N3],N3
37,この問題は、みんなで話し合って決めるべきだ。 [N3],N3
38,彼は日本語が上手だが、漢字はまだ苦手なようだ。 [N3],N3
39,この町は静かで住みやすい。 [N3],N3
40,彼の話は面白くて、時間が経つのを忘れた。 [N3],N3
41,毎朝、電車に乗るたびに、人の多さに驚く。 [N3],N3
42,彼の話を聞いたら、ますます行きたくなった。 [N3],N3
43,日本に来て以来、毎日日本語を勉強している。 [N3],N3
44,この料理は見た目ほど辛くない。 [N3],N3
45,新しい仕事に慣れるのに時間がかかった。 [N3],N3
46,友達が手伝ってくれたおかげで、早く終わった。 [N3],N3
47,雨が降るかもしれないから、傘を持って行ったほうがいい。 [N3],N3
48,試験に合格するために、一生懸命勉強している。 [N3],N3
49,明日は早く起きる必要がある。 [N3],N3
50,この映画は日本語の勉強にも役に立つと思う。 [N3],N3
51,彼の意見に賛成するわけではないが、理解はできる。 [N3],N3
52,最近、仕事が忙しくて、あまり寝ていない。 [N3],N3
53,このレストランは安いのに、とても美味しい。 [N3],N3
54,彼女は昨日、風邪をひいたらしく、今日は学校を休んでいる。 [N3],N3
55,何を言われても、彼の決意は変わらないだろう。 [N3],N3
56,来週の会議には、ぜひ参加してください。 [N3],N3
57,この問題は、みんなで話し合って決めるべきだ。 [N3],N3
58,彼は日本語が上手だが、漢字はまだ苦手なようだ。 [N3],N3
59,この町は静かで住みやすい。 [N3],N3
60,彼の話は面白くて、時間が経つのを忘れた。 [N3],N3
61,毎朝、電車に乗るたびに、人の多さに驚く。 [N3],N3
62,彼の話を聞いたら、ますます行きたくなった。 [N3],N3
63,日本に来て以来、毎日日本語を勉強している。 [N3],N3
64,この料理は見た目ほど辛くない。 [N3],N3
65,新しい仕事に慣れるのに時間がかかった。 [N3],N3
66,友達が手伝ってくれたおかげで、早く終わった。 [N3],N3
67,雨が降るかもしれないから、傘を持って行ったほうがいい。 [N3],N3
68,試験に合格するために、一生懸命勉強している。 [N3],N3
69,明日は早く起きる必要がある。 [N3],N3
70,この映画は日本語の勉強にも役に立つと思う。 [N3],N3
71,彼の意見に賛成するわけではないが、理解はできる。 [N3],N3
72,最近、仕事が忙しくて、あまり寝ていない。 [N3],N3
73,このレストランは安いのに、とても美味しい。 [N3],N3
74,彼女は昨日、風邪をひいたらしく、今日は学校を休んでいる。 [N3],N3
75,何を言われても、彼の決意は変わらないだろう。 [N3],N3
76,来週の会議には、ぜひ参加してください。 [N3],N3
77,この問題は、みんなで話し合って決めるべきだ。 [N3],N3
78,彼は日本語が上手だが、漢字はまだ苦手なようだ。 [N3],N3
79,この町は静かで住みやすい。 [N3],N3
80,彼の話は面白くて、時間が経つのを忘れた。 [N3],N3
81,毎朝、電車に乗るたびに、人の多さに驚く。 [N3],N3
82,彼の話を聞いたら、ますます行きたくなった。 [N3],N3
83,日本に来て以来、毎日日本語を勉強している。 [N3],N3
84,この料理は見た目ほど辛くない。 [N3],N3
85,新しい仕事に慣れるのに時間がかかった。 [N3],N3
86,友達が手伝ってくれたおかげで、早く終わった。 [N3],N3
87,雨が降るかもしれないから、傘を持って行ったほうがいい。 [N3],N3
88,試験に合格するために、一生懸命勉強している。 [N3],N3
89,明日は早く起きる必要がある。 [N3],N3
90,この映画は日本語の勉強にも役に立つと思う。 [N3],N3
91,彼の意見に賛成するわけではないが、理解はできる。 [N3],N3
92,最近、仕事が忙しくて、あまり寝ていない。 [N3],N3
93,このレストランは安いのに、とても美味しい。 [N3],N3
94,彼女は昨日、風邪をひいたらしく、今日は学校を休んでいる。 [N3],N3
95,何を言われても、彼の決意は変わらないだろう。 [N3],N3
96,来週の会議には、ぜひ参加してください。 [N3],N3
97,この問題は、みんなで話し合って決めるべきだ。 [N3],N3
98,彼は日本語が上手だが、漢字はまだ苦手なようだ。 [N3],N3
99,この町は静かで住みやすい。 [N3],N3
100,彼の話は面白くて、時間が経つのを忘れた。 [N3],N3
