SentID,Sentence,Lesson
1,日本へ行ったことがありますか？,Lesson 13
2,友達が新しい車を買ったそうです。,Lesson 13
3,寒くなりましたね。,Lesson 13
4,先生が言った通りにしてください。,Lesson 14
5,これは母が作ったケーキです。,Lesson 14
6,私はチョコレートを食べすぎました。,Lesson 14
7,もっと野菜を食べたほうがいいですよ。,Lesson 15
8,昨日、彼に振られてしまいました。,Lesson 15
9,明日からダイエットを始めることにしました。,Lesson 15
10,朝ごはんを食べないで学校へ行きました。,Lesson 16
11,この本は読み終わりましたか？,Lesson 16
12,部屋を掃除しなければなりません。,Lesson 16
13,彼女は私に手紙を送ってくれました。,Lesson 17
14,先生が日本語を教えてくれました。,Lesson 17
15,両親は私を大学に行かせました。,Lesson 17
16,早く寝るようにしてください。,Lesson 18
17,もっと勉強するべきだと思います。,Lesson 18
18,彼は私に何も言わずに帰りました。,Lesson 18
19,この部屋は広くて明るいです。,Lesson 19
20,日本の文化について研究しています。,Lesson 19
21,先生がおっしゃったことを覚えていますか？,Lesson 19
22,明日、晴れるかどうか分かりません。,Lesson 20
23,アルバイトをしながら学校に通っています。,Lesson 20
24,あの人はいつも文句ばかり言っています。,Lesson 20
25,部長は今、会議中です。,Lesson 21
26,この仕事は私にやらせてください。,Lesson 21
27,来年、日本に留学する予定です。,Lesson 21
28,雨が降るのに、傘を持ってこなかった。,Lesson 22
29,明日は忙しいので、遊べません。,Lesson 22
30,宿題をしないで寝てしまいました。,Lesson 22
31,彼がどこにいるか知っていますか？,Lesson 23
32,母は私に料理をさせました。,Lesson 23
33,先生に質問してみました。,Lesson 23
34,日本語を勉強すれば、上手になります。,Lesson 24
35,もっと運動すれば、健康になりますよ。,Lesson 24
36,毎日復習するようにしています。,Lesson 24
37,日本へ行ったことがありますか？,Lesson 13
38,友達が新しい車を買ったそうです。,Lesson 13
39,寒くなりましたね。,Lesson 13
40,先生が言った通りにしてください。,Lesson 14
41,これは母が作ったケーキです。,Lesson 14
42,私はチョコレートを食べすぎました。,Lesson 14
43,もっと野菜を食べたほうがいいですよ。,Lesson 15
44,昨日、彼に振られてしまいました。,Lesson 15
45,明日からダイエットを始めることにしました。,Lesson 15
46,朝ごはんを食べないで学校へ行きました。,Lesson 16
47,この本は読み終わりましたか？,Lesson 16
48,部屋を掃除しなければなりません。,Lesson 16
49,彼女は私に手紙を送ってくれました。,Lesson 17
50,先生が日本語を教えてくれました。,Lesson 17
51,両親は私を大学に行かせました。,Lesson 17
52,早く寝るようにしてください。,Lesson 18
53,もっと勉強するべきだと思います。,Lesson 18
54,彼は私に何も言わずに帰りました。,Lesson 18
55,この部屋は広くて明るいです。,Lesson 19
56,日本の文化について研究しています。,Lesson 19
57,先生がおっしゃったことを覚えていますか？,Lesson 19
58,明日、晴れるかどうか分かりません。,Lesson 20
59,アルバイトをしながら学校に通っています。,Lesson 20
60,あの人はいつも文句ばかり言っています。,Lesson 20
61,部長は今、会議中です。,Lesson 21
62,この仕事は私にやらせてください。,Lesson 21
63,来年、日本に留学する予定です。,Lesson 21
64,雨が降るのに、傘を持ってこなかった。,Lesson 22
65,明日は忙しいので、遊べません。,Lesson 22
66,宿題をしないで寝てしまいました。,Lesson 22
67,彼がどこにいるか知っていますか？,Lesson 23
68,母は私に料理をさせました。,Lesson 23
69,先生に質問してみました。,Lesson 23
70,日本語を勉強すれば、上手になります。,Lesson 24
71,もっと運動すれば、健康になりますよ。,Lesson 24
72,毎日復習するようにしています。,Lesson 24
73,日本へ行ったことがありますか？,Lesson 13
74,友達が新しい車を買ったそうです。,Lesson 13
75,寒くなりましたね。,Lesson 13
76,先生が言った通りにしてください。,Lesson 14
77,これは母が作ったケーキです。,Lesson 14
78,私はチョコレートを食べすぎました。,Lesson 14
79,もっと野菜を食べたほうがいいですよ。,Lesson 15
80,昨日、彼に振られてしまいました。,Lesson 15
81,明日からダイエットを始めることにしました。,Lesson 15
82,朝ごはんを食べないで学校へ行きました。,Lesson 16
83,この本は読み終わりましたか？,Lesson 16
84,部屋を掃除しなければなりません。,Lesson 16
85,彼女は私に手紙を送ってくれました。,Lesson 17
86,先生が日本語を教えてくれました。,Lesson 17
87,両親は私を大学に行かせました。,Lesson 17
88,早く寝るようにしてください。,Lesson 18
89,もっと勉強するべきだと思います。,Lesson 18
90,彼は私に何も言わずに帰りました。,Lesson 18
91,この部屋は広くて明るいです。,Lesson 19
92,日本の文化について研究しています。,Lesson 19
93,先生がおっしゃったことを覚えていますか？,Lesson 19
94,明日、晴れるかどうか分かりません。,Lesson 20
95,アルバイトをしながら学校に通っています。,Lesson 20
96,あの人はいつも文句ばかり言っています。,Lesson 20
97,部長は今、会議中です。,Lesson 21
98,この仕事は私にやらせてください。,Lesson 21
99,来年、日本に留学する予定です。,Lesson 21
100,雨が降るのに、傘を持ってこなかった。,Lesson 22
101,明日は忙しいので、遊べません。,Lesson 22
102,宿題をしないで寝てしまいました。,Lesson 22
103,彼がどこにいるか知っていますか？,Lesson 23
104,母は私に料理をさせました。,Lesson 23
105,先生に質問してみました。,Lesson 23
106,日本語を勉強すれば、上手になります。,Lesson 24
107,もっと運動すれば、健康になりますよ。,Lesson 24
108,毎日復習するようにしています。,Lesson 24
109,日本へ行ったことがありますか？,Lesson 13
110,友達が新しい車を買ったそうです。,Lesson 13
111,寒くなりましたね。,Lesson 13
112,先生が言った通りにしてください。,Lesson 14
113,これは母が作ったケーキです。,Lesson 14
114,私はチョコレートを食べすぎました。,Lesson 14
115,もっと野菜を食べたほうがいいですよ。,Lesson 15
116,昨日、彼に振られてしまいました。,Lesson 15
117,明日からダイエットを始めることにしました。,Lesson 15
118,朝ごはんを食べないで学校へ行きました。,Lesson 16
119,この本は読み終わりましたか？,Lesson 16
120,部屋を掃除しなければなりません。,Lesson 16
121,彼女は私に手紙を送ってくれました。,Lesson 17
