SentID,Sentence,Lesson
201,この店のラーメンはとてもおいしいです。,Lesson 13
202,昨日、先生に会いました。,Lesson 13
203,今度の旅行は北海道に行くことになりました。,Lesson 13
204,この映画は面白いそうです。,Lesson 14
205,先生に質問したら、すぐに答えてくれました。,Lesson 14
206,もっと運動したほうがいいですよ。,Lesson 14
207,日本語を話せるようになりたいです。,Lesson 15
208,この本を読むのに時間がかかります。,Lesson 15
209,彼は毎日ジョギングをすることにしています。,Lesson 15
210,この公園は朝早くから人が多いです。,Lesson 16
211,ここではタバコを吸ってはいけません。,Lesson 16
212,明日は早く起きなければなりません。,Lesson 16
213,昨日、母が私にお弁当を作ってくれました。,Lesson 17
214,彼女が私を駅まで送ってくれました。,Lesson 17
215,先生に漢字を教えてもらいました。,Lesson 17
216,体に気をつけるように言われました。,Lesson 18
217,彼は仕事をしながら勉強しています。,Lesson 18
218,夜遅くまでゲームをしてしまいました。,Lesson 18
219,京都にはお寺がたくさんあります。,Lesson 19
220,この旅館はとても静かで落ち着きます。,Lesson 19
221,私は写真を撮るのが好きです。,Lesson 19
222,試験が終わったら、遊びに行きたいです。,Lesson 20
223,この問題は簡単そうですね。,Lesson 20
224,友達と旅行の計画を立てました。,Lesson 20
225,上司に新しい仕事を頼まれました。,Lesson 21
226,部屋をきれいにしておいてください。,Lesson 21
227,友達が誕生日にプレゼントをくれました。,Lesson 21
228,この店の料理は安いのに、とてもおいしいです。,Lesson 22
229,天気予報によると、明日は雨が降るそうです。,Lesson 22
230,彼は仕事が忙しくて、なかなか休めません。,Lesson 22
231,試験に合格するために、毎日勉強しています。,Lesson 23
232,この映画はとても感動的でした。,Lesson 23
233,友達と一緒に写真を撮りました。,Lesson 23
234,漢字をもっと覚えれば、日本語が上手になります。,Lesson 24
235,このレストランは予約しなくても入れます。,Lesson 24
236,最近、運動不足なのでジムに通い始めました。,Lesson 24
237,この店のラーメンはとてもおいしいです。,Lesson 13
238,昨日、先生に会いました。,Lesson 13
239,今度の旅行は北海道に行くことになりました。,Lesson 13
240,この映画は面白いそうです。,Lesson 14
241,先生に質問したら、すぐに答えてくれました。,Lesson 14
242,もっと運動したほうがいいですよ。,Lesson 14
243,日本語を話せるようになりたいです。,Lesson 15
244,この本を読むのに時間がかかります。,Lesson 15
245,彼は毎日ジョギングをすることにしています。,Lesson 15
246,この公園は朝早くから人が多いです。,Lesson 16
247,ここではタバコを吸ってはいけません。,Lesson 16
248,明日は早く起きなければなりません。,Lesson 16
249,昨日、母が私にお弁当を作ってくれました。,Lesson 17
250,彼女が私を駅まで送ってくれました。,Lesson 17
251,先生に漢字を教えてもらいました。,Lesson 17
252,体に気をつけるように言われました。,Lesson 18
253,彼は仕事をしながら勉強しています。,Lesson 18
254,夜遅くまでゲームをしてしまいました。,Lesson 18
255,京都にはお寺がたくさんあります。,Lesson 19
256,この旅館はとても静かで落ち着きます。,Lesson 19
257,私は写真を撮るのが好きです。,Lesson 19
258,試験が終わったら、遊びに行きたいです。,Lesson 20
259,この問題は簡単そうですね。,Lesson 20
260,友達と旅行の計画を立てました。,Lesson 20
261,上司に新しい仕事を頼まれました。,Lesson 21
262,部屋をきれいにしておいてください。,Lesson 21
263,友達が誕生日にプレゼントをくれました。,Lesson 21
264,この店の料理は安いのに、とてもおいしいです。,Lesson 22
265,天気予報によると、明日は雨が降るそうです。,Lesson 22
266,彼は仕事が忙しくて、なかなか休めません。,Lesson 22
267,試験に合格するために、毎日勉強しています。,Lesson 23
268,この映画はとても感動的でした。,Lesson 23
269,友達と一緒に写真を撮りました。,Lesson 23
270,漢字をもっと覚えれば、日本語が上手になります。,Lesson 24
271,このレストランは予約しなくても入れます。,Lesson 24
272,最近、運動不足なのでジムに通い始めました。,Lesson 24
273,この店のラーメンはとてもおいしいです。,Lesson 13
274,昨日、先生に会いました。,Lesson 13
275,今度の旅行は北海道に行くことになりました。,Lesson 13
276,この映画は面白いそうです。,Lesson 14
277,先生に質問したら、すぐに答えてくれました。,Lesson 14
278,もっと運動したほうがいいですよ。,Lesson 14
279,日本語を話せるようになりたいです。,Lesson 15
280,この本を読むのに時間がかかります。,Lesson 15
281,彼は毎日ジョギングをすることにしています。,Lesson 15
282,この公園は朝早くから人が多いです。,Lesson 16
283,ここではタバコを吸ってはいけません。,Lesson 16
284,明日は早く起きなければなりません。,Lesson 16
285,昨日、母が私にお弁当を作ってくれました。,Lesson 17
286,彼女が私を駅まで送ってくれました。,Lesson 17
287,先生に漢字を教えてもらいました。,Lesson 17
288,体に気をつけるように言われました。,Lesson 18
289,彼は仕事をしながら勉強しています。,Lesson 18
290,夜遅くまでゲームをしてしまいました。,Lesson 18
291,京都にはお寺がたくさんあります。,Lesson 19
292,この旅館はとても静かで落ち着きます。,Lesson 19
293,私は写真を撮るのが好きです。,Lesson 19
294,試験が終わったら、遊びに行きたいです。,Lesson 20
295,この問題は簡単そうですね。,Lesson 20
296,友達と旅行の計画を立てました。,Lesson 20
297,上司に新しい仕事を頼まれました。,Lesson 21
298,部屋をきれいにしておいてください。,Lesson 21
299,友達が誕生日にプレゼントをくれました。,Lesson 21
300,この店の料理は安いのに、とてもおいしいです。,Lesson 22
301,天気予報によると、明日は雨が降るそうです。,Lesson 22
302,彼は仕事が忙しくて、なかなか休めません。,Lesson 22
303,試験に合格するために、毎日勉強しています。,Lesson 23
304,この映画はとても感動的でした。,Lesson 23
305,友達と一緒に写真を撮りました。,Lesson 23
306,漢字をもっと覚えれば、日本語が上手になります。,Lesson 24
307,このレストランは予約しなくても入れます。,Lesson 24
308,最近、運動不足なのでジムに通い始めました。,Lesson 24
309,この店のラーメンはとてもおいしいです。,Lesson 13
310,昨日、先生に会いました。,Lesson 13
