SentID,Sentence,Proficiency Level
1,私は毎朝6時に起きます。 [N4],N4
2,昨日、友達と映画を見ました。 [N4],N4
3,この本はとても面白いです。 [N4],N4
4,日本語を勉強するのは楽しいです。 [N4],N4
5,駅まで歩いて10分かかります。 [N4],N4
6,来週、家族と旅行に行きます。 [N4],N4
7,天気が悪いので、家にいます。 [N4],N4
8,先生に質問をしました。 [N4],N4
9,この公園は静かで、気持ちがいいです。 [N4],N4
10,彼はとても親切な人です。 [N4],N4
11,私は毎日学校へ行きます。 [N4],N4
12,お母さんが晩ごはんを作ってくれました。 [N4],N4
13,昨日のテストは難しかったです。 [N4],N4
14,お店で新しい服を買いました。 [N4],N4
15,来年、日本へ行きたいです。 [N4],N4
16,このカフェのコーヒーはおいしいです。 [N4],N4
17,友達と一緒に宿題をしました。 [N4],N4
18,この町は賑やかで楽しいです。 [N4],N4
19,私は音楽を聞くのが好きです。 [N4],N4
20,今日の天気はとても暑いです。 [N4],N4
21,私は毎朝6時に起きます。 [N4],N4
22,昨日、友達と映画を見ました。 [N4],N4
23,この本はとても面白いです。 [N4],N4
24,日本語を勉強するのは楽しいです。 [N4],N4
25,駅まで歩いて10分かかります。 [N4],N4
26,来週、家族と旅行に行きます。 [N4],N4
27,天気が悪いので、家にいます。 [N4],N4
28,先生に質問をしました。 [N4],N4
29,この公園は静かで、気持ちがいいです。 [N4],N4
30,彼はとても親切な人です。 [N4],N4
31,私は毎日学校へ行きます。 [N4],N4
32,お母さんが晩ごはんを作ってくれました。 [N4],N4
33,昨日のテストは難しかったです。 [N4],N4
34,お店で新しい服を買いました。 [N4],N4
35,来年、日本へ行きたいです。 [N4],N4
36,このカフェのコーヒーはおいしいです。 [N4],N4
37,友達と一緒に宿題をしました。 [N4],N4
38,この町は賑やかで楽しいです。 [N4],N4
39,私は音楽を聞くのが好きです。 [N4],N4
40,今日の天気はとても暑いです。 [N4],N4
41,私は毎朝6時に起きます。 [N4],N4
42,昨日、友達と映画を見ました。 [N4],N4
43,この本はとても面白いです。 [N4],N4
44,日本語を勉強するのは楽しいです。 [N4],N4
45,駅まで歩いて10分かかります。 [N4],N4
46,来週、家族と旅行に行きます。 [N4],N4
47,天気が悪いので、家にいます。 [N4],N4
48,先生に質問をしました。 [N4],N4
49,この公園は静かで、気持ちがいいです。 [N4],N4
50,彼はとても親切な人です。 [N4],N4
51,私は毎日学校へ行きます。 [N4],N4
52,お母さんが晩ごはんを作ってくれました。 [N4],N4
53,昨日のテストは難しかったです。 [N4],N4
54,お店で新しい服を買いました。 [N4],N4
55,来年、日本へ行きたいです。 [N4],N4
56,このカフェのコーヒーはおいしいです。 [N4],N4
57,友達と一緒に宿題をしました。 [N4],N4
58,この町は賑やかで楽しいです。 [N4],N4
59,私は音楽を聞くのが好きです。 [N4],N4
60,今日の天気はとても暑いです。 [N4],N4
61,私は毎朝6時に起きます。 [N4],N4
62,昨日、友達と映画を見ました。 [N4],N4
63,この本はとても面白いです。 [N4],N4
64,日本語を勉強するのは楽しいです。 [N4],N4
65,駅まで歩いて10分かかります。 [N4],N4
66,来週、家族と旅行に行きます。 [N4],N4
67,天気が悪いので、家にいます。 [N4],N4
68,先生に質問をしました。 [N4],N4
69,この公園は静かで、気持ちがいいです。 [N4],N4
70,彼はとても親切な人です。 [N4],N4
71,私は毎日学校へ行きます。 [N4],N4
72,お母さんが晩ごはんを作ってくれました。 [N4],N4
73,昨日のテストは難しかったです。 [N4],N4
74,お店で新しい服を買いました。 [N4],N4
75,来年、日本へ行きたいです。 [N4],N4
76,このカフェのコーヒーはおいしいです。 [N4],N4
77,友達と一緒に宿題をしました。 [N4],N4
78,この町は賑やかで楽しいです。 [N4],N4
79,私は音楽を聞くのが好きです。 [N4],N4
80,今日の天気はとても暑いです。 [N4],N4
81,私は毎朝6時に起きます。 [N4],N4
82,昨日、友達と映画を見ました。 [N4],N4
83,この本はとても面白いです。 [N4],N4
84,日本語を勉強するのは楽しいです。 [N4],N4
85,駅まで歩いて10分かかります。 [N4],N4
86,来週、家族と旅行に行きます。 [N4],N4
87,天気が悪いので、家にいます。 [N4],N4
88,先生に質問をしました。 [N4],N4
89,この公園は静かで、気持ちがいいです。 [N4],N4
90,彼はとても親切な人です。 [N4],N4
91,私は毎日学校へ行きます。 [N4],N4
92,お母さんが晩ごはんを作ってくれました。 [N4],N4
93,昨日のテストは難しかったです。 [N4],N4
94,お店で新しい服を買いました。 [N4],N4
95,来年、日本へ行きたいです。 [N4],N4
96,このカフェのコーヒーはおいしいです。 [N4],N4
97,友達と一緒に宿題をしました。 [N4],N4
98,この町は賑やかで楽しいです。 [N4],N4
99,私は音楽を聞くのが好きです。 [N4],N4
100,今日の天気はとても暑いです。 [N4],N4
