SentID,Sentence,Lesson
201,私の名前は田中です。,Lesson 1
202,先生は日本人ですか？,Lesson 1
203,これは何ですか？,Lesson 2
204,このかばんはいくらですか？,Lesson 2
205,昨日、友達と映画を見ました。,Lesson 3
206,明日は学校に行きません。,Lesson 3
207,毎日コーヒーを飲みます。,Lesson 3
208,私は昨日、公園で散歩しました。,Lesson 4
209,この電車は何時に出ますか？,Lesson 4
210,週末に何をしましたか？,Lesson 4
211,このレストランの料理は美味しいです。,Lesson 5
212,彼女はとても優しい人です。,Lesson 5
213,夏休みに旅行に行きました。,Lesson 5
214,病院へ行ったほうがいいですよ。,Lesson 6
215,寒いのでコートを着たほうがいいですよ。,Lesson 6
216,毎日運動するのがいいと思います。,Lesson 6
217,この写真を見てください。,Lesson 7
218,彼はスポーツが得意です。,Lesson 7
219,昨日、新しい服を買いました。,Lesson 7
220,友達にプレゼントをもらいました。,Lesson 8
221,先生に質問をしました。,Lesson 8
222,このアニメはとても面白いです。,Lesson 8
223,朝ごはんを食べてから学校に行きました。,Lesson 9
224,彼の家は駅の近くにあります。,Lesson 9
225,学校の図書館はとても静かです。,Lesson 9
226,私はテニスをするのが好きです。,Lesson 10
227,友達とカフェで話しました。,Lesson 10
228,日本の文化に興味があります。,Lesson 10
229,試験が終わったら旅行に行きたいです。,Lesson 11
230,彼女と映画を見に行く予定です。,Lesson 11
231,アルバイトを探しています。,Lesson 11
232,風邪をひいたので、薬を飲みました。,Lesson 12
233,お茶を飲んだほうがいいですよ。,Lesson 12
234,この薬はよく効きます。,Lesson 12
235,私の名前は田中です。,Lesson 1
236,先生は日本人ですか？,Lesson 1
237,これは何ですか？,Lesson 2
238,このかばんはいくらですか？,Lesson 2
239,昨日、友達と映画を見ました。,Lesson 3
240,明日は学校に行きません。,Lesson 3
241,毎日コーヒーを飲みます。,Lesson 3
242,私は昨日、公園で散歩しました。,Lesson 4
243,この電車は何時に出ますか？,Lesson 4
244,週末に何をしましたか？,Lesson 4
245,このレストランの料理は美味しいです。,Lesson 5
246,彼女はとても優しい人です。,Lesson 5
247,夏休みに旅行に行きました。,Lesson 5
248,病院へ行ったほうがいいですよ。,Lesson 6
249,寒いのでコートを着たほうがいいですよ。,Lesson 6
250,毎日運動するのがいいと思います。,Lesson 6
251,この写真を見てください。,Lesson 7
252,彼はスポーツが得意です。,Lesson 7
253,昨日、新しい服を買いました。,Lesson 7
254,友達にプレゼントをもらいました。,Lesson 8
255,先生に質問をしました。,Lesson 8
256,このアニメはとても面白いです。,Lesson 8
257,朝ごはんを食べてから学校に行きました。,Lesson 9
258,彼の家は駅の近くにあります。,Lesson 9
259,学校の図書館はとても静かです。,Lesson 9
260,私はテニスをするのが好きです。,Lesson 10
261,友達とカフェで話しました。,Lesson 10
262,日本の文化に興味があります。,Lesson 10
263,試験が終わったら旅行に行きたいです。,Lesson 11
264,彼女と映画を見に行く予定です。,Lesson 11
265,アルバイトを探しています。,Lesson 11
266,風邪をひいたので、薬を飲みました。,Lesson 12
267,お茶を飲んだほうがいいですよ。,Lesson 12
268,この薬はよく効きます。,Lesson 12
269,私の名前は田中です。,Lesson 1
270,先生は日本人ですか？,Lesson 1
271,これは何ですか？,Lesson 2
272,このかばんはいくらですか？,Lesson 2
273,昨日、友達と映画を見ました。,Lesson 3
274,明日は学校に行きません。,Lesson 3
275,毎日コーヒーを飲みます。,Lesson 3
276,私は昨日、公園で散歩しました。,Lesson 4
277,この電車は何時に出ますか？,Lesson 4
278,週末に何をしましたか？,Lesson 4
279,このレストランの料理は美味しいです。,Lesson 5
280,彼女はとても優しい人です。,Lesson 5
281,夏休みに旅行に行きました。,Lesson 5
282,病院へ行ったほうがいいですよ。,Lesson 6
283,寒いのでコートを着たほうがいいですよ。,Lesson 6
284,毎日運動するのがいいと思います。,Lesson 6
285,この写真を見てください。,Lesson 7
286,彼はスポーツが得意です。,Lesson 7
